ROW NUMBER=20000 (cgs units)
Nr=100
Nz=200
r[cm],z/r,z[cm],n_H[cm**-3],Tgas[K],tauv_star,tauv_zup,tauv_zdn,dtauv_z,Tdust[K]
 5.271E+11, 8.206E-01, 4.325E+11, 5.199E-277, 1.746E+03, 1.000E-300, 1.466E-288, 6.536E+04, 2.403E-290, 1.401E+03
 5.271E+11, 8.264E-01, 4.356E+11, 5.199E-277, 1.746E+03, 1.000E-300, 1.442E-288, 6.536E+04, 2.403E-290, 1.401E+03
 5.271E+11, 8.323E-01, 4.387E+11, 5.199E-277, 1.746E+03, 1.000E-300, 1.418E-288, 6.536E+04, 2.403E-290, 1.401E+03
 5.271E+11, 8.382E-01, 4.418E+11, 5.199E-277, 1.746E+03, 1.000E-300, 1.394E-288, 6.536E+04, 2.403E-290, 1.401E+03
 5.271E+11, 8.441E-01, 4.449E+11, 5.199E-277, 1.731E+03, 1.000E-300, 1.370E-288, 6.536E+04, 2.403E-290, 1.385E+03
 5.271E+11, 8.500E-01, 4.480E+11, 5.199E-277, 1.729E+03, 1.000E-300, 1.346E-288, 6.536E+04, 2.403E-290, 1.383E+03
 5.271E+11, 8.559E-01, 4.511E+11, 5.199E-277, 1.729E+03, 1.000E-300, 1.322E-288, 6.536E+04, 2.403E-290, 1.383E+03
 5.271E+11, 8.618E-01, 4.542E+11, 5.199E-277, 1.727E+03, 1.000E-300, 1.298E-288, 6.536E+04, 2.403E-290, 1.381E+03
 5.271E+11, 8.677E-01, 4.573E+11, 5.199E-277, 1.727E+03, 1.000E-300, 1.274E-288, 6.536E+04, 2.403E-290, 1.381E+03
 5.271E+11, 8.736E-01, 4.604E+11, 5.199E-277, 1.727E+03, 1.000E-300, 1.250E-288, 6.536E+04, 2.403E-290, 1.381E+03
 5.271E+11, 8.795E-01, 4.636E+11, 5.199E-277, 1.727E+03, 1.000E-300, 1.226E-288, 6.536E+04, 2.403E-290, 1.381E+03
 5.271E+11, 8.854E-01, 4.667E+11, 5.199E-277, 1.727E+03, 1.000E-300, 1.202E-288, 6.536E+04, 2.403E-290, 1.381E+03
 5.271E+11, 8.913E-01, 4.698E+11, 5.199E-277, 1.711E+03, 1.000E-300, 1.177E-288, 6.536E+04, 2.403E-290, 1.363E+03
 5.271E+11, 8.971E-01, 4.729E+11, 5.199E-277, 1.710E+03, 1.000E-300, 1.153E-288, 6.536E+04, 2.403E-290, 1.362E+03
 5.271E+11, 9.030E-01, 4.760E+11, 5.199E-277, 1.710E+03, 1.000E-300, 1.129E-288, 6.536E+04, 2.403E-290, 1.362E+03
 5.271E+11, 9.089E-01, 4.791E+11, 5.199E-277, 1.708E+03, 1.000E-300, 1.105E-288, 6.536E+04, 2.403E-290, 1.360E+03
 5.271E+11, 9.148E-01, 4.822E+11, 5.199E-277, 1.708E+03, 1.000E-300, 1.081E-288, 6.536E+04, 2.403E-290, 1.360E+03
 5.271E+11, 9.207E-01, 4.853E+11, 5.199E-277, 1.706E+03, 1.000E-300, 1.057E-288, 6.536E+04, 2.403E-290, 1.359E+03
 5.271E+11, 9.266E-01, 4.884E+11, 5.199E-277, 1.690E+03, 1.000E-300, 1.033E-288, 6.536E+04, 2.403E-290, 1.341E+03
 5.271E+11, 9.325E-01, 4.915E+11, 5.199E-277, 1.690E+03, 1.000E-300, 1.009E-288, 6.536E+04, 2.403E-290, 1.341E+03
 5.271E+11, 9.384E-01, 4.946E+11, 5.199E-277, 1.687E+03, 1.000E-300, 9.852E-289, 6.536E+04, 2.403E-290, 1.338E+03
 5.271E+11, 9.443E-01, 4.977E+11, 5.199E-277, 1.687E+03, 1.000E-300, 9.612E-289, 6.536E+04, 2.403E-290, 1.338E+03
 5.271E+11, 9.502E-01, 5.008E+11, 5.199E-277, 1.686E+03, 1.000E-300, 9.372E-289, 6.536E+04, 2.403E-290, 1.335E+03
 5.271E+11, 9.561E-01, 5.039E+11, 5.199E-277, 1.686E+03, 1.000E-300, 9.131E-289, 6.536E+04, 2.403E-290, 1.335E+03
 5.271E+11, 9.620E-01, 5.070E+11, 5.199E-277, 1.684E+03, 1.000E-300, 8.891E-289, 6.536E+04, 2.403E-290, 1.333E+03
 5.271E+11, 9.678E-01, 5.101E+11, 5.199E-277, 1.684E+03, 1.000E-300, 8.651E-289, 6.536E+04, 2.403E-290, 1.333E+03
 5.271E+11, 9.737E-01, 5.132E+11, 5.199E-277, 1.666E+03, 1.000E-300, 8.411E-289, 6.536E+04, 2.403E-290, 1.312E+03
 5.271E+11, 9.796E-01, 5.163E+11, 5.199E-277, 1.662E+03, 1.000E-300, 8.170E-289, 6.536E+04, 2.403E-290, 1.307E+03
 5.271E+11, 9.855E-01, 5.195E+11, 5.199E-277, 1.662E+03, 1.000E-300, 7.930E-289, 6.536E+04, 2.403E-290, 1.307E+03
